name,on-demand scan,on-access scan,boot-time scans,heuristics,cloudav,firewall,ids,ips,email security,antispam,web protection,macro protection,live update,support,virus bulletin vb100,av comparatives,av test,company:agnitum,company:ahnlab,company:avast,company:avetix,company:avg technologies (grisoft),company:avira,company:bitdefender,company:bullguard,company:check point,company:clamwin,company:comodo group,company:cysec,company:dr. web,company:eset,company:f-secure,company:frisk software,company:fortinet,company:g data software,company:gfi software,company:ikarus,company:iobit,company:iolo technologies,company:is3,company:k7 computing,company:kaspersky lab,company:kingsoft,company:mcafee,company:microsoft,company:nano security,company:panda security,company:psafe,company:qihoo 360,company:quick heal,company:scandium security,company:sophos,company:cisco (originally immunet),company:strayspark computing,company:symantec,company:symantec (originally pc tools),company:tg soft,company:trend micro,company:trustport,company:virusblokada,company:webroot,company:zemana,company:*,license:proprietary,license:gnu gpl,license:*,price:non-free,price:free,price:trialware,price:shareware,price:*,first release:1987,first release:1988,first release:1989,first release:1990,first release:1991,first release:1992,first release:1994,first release:1995,first release:1996,first release:1997,first release:1998,first release:2000,first release:2002,first release:2003,first release:2004,first release:2006,first release:2007,first release:2008,first release:2009,first release:2010,first release:2011,first release:2012,first release:2013,first release:[1987-1988],first release:[1988-1989],first release:[1989-1990],first release:[1990-1991],first release:[1991-1992],first release:[1992-1994],first release:[1994-1995],first release:[1995-1996],first release:[1996-1997],first release:[1997-1998],first release:[1998-2000],first release:[2000-2002],first release:[2002-2003],first release:[2003-2004],first release:[2004-2006],first release:[2006-2007],first release:[2007-2008],first release:[2008-2009],first release:[2009-2010],first release:[2010-2011],first release:[2011-2012],first release:[2012-2013],first release:[1987-1989],first release:[1988-1990],first release:[1989-1991],first release:[1990-1992],first release:[1991-1994],first release:[1992-1995],first release:[1994-1996],first release:[1995-1997],first release:[1996-1998],first release:[1997-2000],first release:[1998-2002],first release:[2000-2003],first release:[2002-2004],first release:[2003-2006],first release:[2004-2007],first release:[2006-2008],first release:[2007-2009],first release:[2008-2010],first release:[2009-2011],first release:[2010-2012],first release:[2011-2013],first release:[1987-1990],first release:[1988-1991],first release:[1989-1992],first release:[1990-1994],first release:[1991-1995],first release:[1992-1996],first release:[1994-1997],first release:[1995-1998],first release:[1996-2000],first release:[1997-2002],first release:[1998-2003],first release:[2000-2004],first release:[2002-2006],first release:[2003-2007],first release:[2004-2008],first release:[2006-2009],first release:[2007-2010],first release:[2008-2011],first release:[2009-2012],first release:[2010-2013],first release:[1987-1991],first release:[1988-1992],first release:[1989-1994],first release:[1990-1995],first release:[1991-1996],first release:[1992-1997],first release:[1994-1998],first release:[1995-2000],first release:[1996-2002],first release:[1997-2003],first release:[1998-2004],first release:[2000-2006],first release:[2002-2007],first release:[2003-2008],first release:[2004-2009],first release:[2006-2010],first release:[2007-2011],first release:[2008-2012],first release:[2009-2013],first release:[1987-1992],first release:[1988-1994],first release:[1989-1995],first release:[1990-1996],first release:[1991-1997],first release:[1992-1998],first release:[1994-2000],first release:[1995-2002],first release:[1996-2003],first release:[1997-2004],first release:[1998-2006],first release:[2000-2007],first release:[2002-2008],first release:[2003-2009],first release:[2004-2010],first release:[2006-2011],first release:[2007-2012],first release:[2008-2013],first release:[1987-1994],first release:[1988-1995],first release:[1989-1996],first release:[1990-1997],first release:[1991-1998],first release:[1992-2000],first release:[1994-2002],first release:[1995-2003],first release:[1996-2004],first release:[1997-2006],first release:[1998-2007],first release:[2000-2008],first release:[2002-2009],first release:[2003-2010],first release:[2004-2011],first release:[2006-2012],first release:[2007-2013],first release:[1987-1995],first release:[1988-1996],first release:[1989-1997],first release:[1990-1998],first release:[1991-2000],first release:[1992-2002],first release:[1994-2003],first release:[1995-2004],first release:[1996-2006],first release:[1997-2007],first release:[1998-2008],first release:[2000-2009],first release:[2002-2010],first release:[2003-2011],first release:[2004-2012],first release:[2006-2013],first release:[1987-1996],first release:[1988-1997],first release:[1989-1998],first release:[1990-2000],first release:[1991-2002],first release:[1992-2003],first release:[1994-2004],first release:[1995-2006],first release:[1996-2007],first release:[1997-2008],first release:[1998-2009],first release:[2000-2010],first release:[2002-2011],first release:[2003-2012],first release:[2004-2013],first release:[1987-1997],first release:[1988-1998],first release:[1989-2000],first release:[1990-2002],first release:[1991-2003],first release:[1992-2004],first release:[1994-2006],first release:[1995-2007],first release:[1996-2008],first release:[1997-2009],first release:[1998-2010],first release:[2000-2011],first release:[2002-2012],first release:[2003-2013],first release:[1987-1998],first release:[1988-2000],first release:[1989-2002],first release:[1990-2003],first release:[1991-2004],first release:[1992-2006],first release:[1994-2007],first release:[1995-2008],first release:[1996-2009],first release:[1997-2010],first release:[1998-2011],first release:[2000-2012],first release:[2002-2013],first release:[1987-2000],first release:[1988-2002],first release:[1989-2003],first release:[1990-2004],first release:[1991-2006],first release:[1992-2007],first release:[1994-2008],first release:[1995-2009],first release:[1996-2010],first release:[1997-2011],first release:[1998-2012],first release:[2000-2013],first release:[1987-2002],first release:[1988-2003],first release:[1989-2004],first release:[1990-2006],first release:[1991-2007],first release:[1992-2008],first release:[1994-2009],first release:[1995-2010],first release:[1996-2011],first release:[1997-2012],first release:[1998-2013],first release:[1987-2003],first release:[1988-2004],first release:[1989-2006],first release:[1990-2007],first release:[1991-2008],first release:[1992-2009],first release:[1994-2010],first release:[1995-2011],first release:[1996-2012],first release:[1997-2013],first release:[1987-2004],first release:[1988-2006],first release:[1989-2007],first release:[1990-2008],first release:[1991-2009],first release:[1992-2010],first release:[1994-2011],first release:[1995-2012],first release:[1996-2013],first release:[1987-2006],first release:[1988-2007],first release:[1989-2008],first release:[1990-2009],first release:[1991-2010],first release:[1992-2011],first release:[1994-2012],first release:[1995-2013],first release:[1987-2007],first release:[1988-2008],first release:[1989-2009],first release:[1990-2010],first release:[1991-2011],first release:[1992-2012],first release:[1994-2013],first release:[1987-2008],first release:[1988-2009],first release:[1989-2010],first release:[1990-2011],first release:[1991-2012],first release:[1992-2013],first release:[1987-2009],first release:[1988-2010],first release:[1989-2011],first release:[1990-2012],first release:[1991-2013],first release:[1987-2010],first release:[1988-2011],first release:[1989-2012],first release:[1990-2013],first release:[1987-2011],first release:[1988-2012],first release:[1989-2013],first release:[1987-2012],first release:[1988-2013],first release:[1987-2013],first release:*,country of origin:russia,country of origin:south korea,country of origin:czech republic,country of origin:italy,country of origin:germany,country of origin:romania,country of origin:united kingdom,country of origin:united states,country of origin:australia,country of origin:slovakia,country of origin:finland,country of origin:iceland,country of origin:malta,country of origin:india,country of origin:china,country of origin:spain,country of origin:brazil,country of origin:cyprus,country of origin:japan,country of origin:belarus,country of origin:turkey,country of origin:*
avg antivirus,X,X,X,X,X,,,,X,,X,X,X,X,X,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,X,X,X,X,X,X,X,X,,,,,,X,X,X,X,X,X,X,X,,,,,X,X,X,X,X,X,X,X,,,,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,,,,,,,,,,,,,,,,,,,
avg internet security,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,X,X,X,X,X,X,,,,,,,,X,X,X,X,X,X,,,,,,,X,X,X,X,X,X,,,,,,X,X,X,X,X,X,,,,,X,X,X,X,X,X,,,,X,X,X,X,X,X,,,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,,,,,,,,,,,,,,,,,,,
avira antivirus free (formerly antivir),X,X,X,X,,,,,X,X,X,X,X,X,X,X,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,X,X,,,,,,,,,,,,X,X,,,,,,,,,,,X,X,,,,,,,,,,X,X,,,,,,,,,X,X,,,,,,,,X,X,,,,,,,X,X,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,,,,,,X,,,,,,,,,,,,,,,,,
avira internet security,X,X,X,X,,,,,X,X,X,X,X,X,X,X,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,X,X,X,X,X,X,X,X,X,,,,,,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,X,,,,,,,,,,,,,,,,,
bitdefender antivirus free,X,X,X,X,X,,,,,,X,,X,X,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,X,,,,,,,,X,,,,,,,X,,,,,,X,,,,,X,,,,X,,,X,,X,X,,,,,,,X,,,,,,,,,,,,,,,,
bitdefender antivirus plus,X,X,X,X,X,,,,,,X,,X,X,X,X,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,X,X,X,X,X,X,X,X,X,,,,,,,X,X,X,X,X,X,X,X,X,,,,,,X,X,X,X,X,X,X,X,X,,,,,X,X,X,X,X,X,X,X,X,,,,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,X,,,,,,,,,,,,,,,,
bitdefender internet security,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,X,X,X,X,X,X,,,,,,,,X,X,X,X,X,X,,,,,,,X,X,X,X,X,X,,,,,,X,X,X,X,X,X,,,,,X,X,X,X,X,X,,,,X,X,X,X,X,X,,,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,X,,,,,,,,,,,,,,,,
bullguard antivirus,X,X,X,X,,,,,,,,,X,X,X,X,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,X,X,X,X,X,X,X,X,X,,,,,,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,X,,,,,,,,,,,,,,,
bullguard internet security,X,X,X,X,,X,,,X,X,X,,X,X,X,X,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,X,X,X,X,X,X,X,X,X,,,,,,X,X,X,X,X,X,X,X,X,,,,,X,X,X,X,X,X,X,X,X,,,,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,X,,,,,,,,,,,,,,,
zonealarm pro antivirus + firewall,X,X,,,,X,X,X,,,,,X,X,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,X,X,X,X,X,X,X,X,X,,,,,,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,X,,,,,,,,,,,,,,
zonealarm internet security suite,X,X,,,,X,X,X,X,,X,,X,X,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,X,X,,,,,,,,,,,,X,X,,,,,,,,,,,X,X,,,,,,,,,,X,X,,,,,,,,,X,X,,,,,,,,X,X,,,,,,,X,X,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,X,X,,,,,,,,,X,,,,,,,,,,,,,,
clamwin,X,X,X,X,,,,,X,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,X,X,X,X,X,X,X,X,X,,,,,,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,X,,,,,,,,,,,,,
comodo antivirus,X,X,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,X,X,X,X,X,X,,,,,,,,X,X,X,X,X,X,,,,,,,X,X,X,X,X,X,,,,,,X,X,X,X,X,X,,,,,X,X,X,X,X,X,,,,X,X,X,X,X,X,,,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,X,,,,,,,,,,,,,,
comodo antivirus advanced,X,X,,X,,,,,,,X,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,X,X,X,X,X,X,,,,,,,,X,X,X,X,X,X,,,,,,,X,X,X,X,X,X,,,,,,X,X,X,X,X,X,,,,,X,X,X,X,X,X,,,,X,X,X,X,X,X,,,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,X,,,,,,,,,,,,,,
cysec antivirus free,X,X,,,,,,,X,,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,X,X,X,X,X,X,X,,,,,,,X,X,X,X,X,X,X,,,,,,X,X,X,X,X,X,X,,,,,X,X,X,X,X,X,X,,,,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,X,,,,,,,,,,,,,,,
comodo internet security,X,X,,X,,X,,,,,X,,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,X,X,X,X,,,,,,,,,,X,X,X,X,,,,,,,,,X,X,X,X,,,,,,,,X,X,X,X,,,,,,,X,X,X,X,,,,,,X,X,X,X,,,,,X,X,X,X,,,,X,X,X,X,,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,X,,,,,,,,,,,,,,
dr. web anti-virus (formerly spiderweb),X,X,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,X,X,X,X,X,X,,,,,,,,X,X,X,X,X,X,,,,,,,X,X,X,X,X,X,,,,,,X,X,X,X,X,X,,,,,X,X,X,X,X,X,,,,X,X,X,X,X,X,,,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,,,,,,,,,,,,,,,,,,,
dr. web security space,X,X,,,,X,,,,,X,,X,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,X,X,X,X,X,X,X,X,,,,,,X,X,X,X,X,X,X,X,,,,,X,X,X,X,X,X,X,X,,,,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,,,,,,,,,,,,,,,,,,,
eset nod32 antivirus,X,X,X,X,X,,,,X,,X,X,X,X,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,X,,,,,,,,X,,,,,,,X,,,,,,X,,,,,X,,,,X,,,X,,X,,,,,,,,,,,X,,,,,,,,,,,,
eset smart security,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,X,X,X,X,X,X,X,,,,,,,X,X,X,X,X,X,X,,,,,,X,X,X,X,X,X,X,,,,,X,X,X,X,X,X,X,,,,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,X,,,,,,,,,,,,
f-secure antivirus,X,X,X,X,,,,,X,,,X,X,X,X,X,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,X,X,X,X,X,,,,,,,,,X,X,X,X,X,,,,,,,,X,X,X,X,X,,,,,,,X,X,X,X,X,,,,,,X,X,X,X,X,,,,,X,X,X,X,X,,,,X,X,X,X,X,,,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,X,,,,,,,,,,,
